p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
10307556,Nad Al Shiba First,131-,,,,,,,,,,,,,,2787.06,6183900,Meydan,,Public Facilities
10307558,Nad Al Shiba First,132-,,,,,,,,,,,,,,1393.53,6189100,Meydan,,Public Facilities
10307560,Nad Al Shiba First,133-,,,,,,,,,,,,,,1393.53,6188994,Meydan,,Public Facilities
10307562,Nad Al Shiba First,134-,,,,,,,,,,,,,,1393.53,6189097,Meydan,,Public Facilities
10307564,Nad Al Shiba First,135-,,,,,,,,,,,,,,2787.06,6184119,Meydan,,Public Facilities
10307566,Nad Al Shiba First,136-,,,,,,,,,,,,,,1393.53,6189098,Meydan,,Public Facilities
10307568,Nad Al Shiba First,137-,,,,,,,,,,,,,,1393.53,6189088,Meydan,,Public Facilities
10307570,Nad Al Shiba First,138-,,,,,,,,,,,,,,1393.53,6189091,Meydan,,Public Facilities
10307572,Nad Al Shiba First,139-,,,,,,,,,,,,,,7882.75,6183897,Meydan,,Public Facilities
10307574,Nad Al Shiba First,140-,,,,,,,,,,,,,,1393.53,6188972,Meydan,,Public Facilities
10307576,Nad Al Shiba First,141-,,,,,,,,,,,,,,1393.53,6189049,Meydan,,Public Facilities
10313810,Nad Al Shiba First,142-,,,,,,,,,,,,,,1393.53,6188998,Meydan,,Public Facilities
10313812,Nad Al Shiba First,143-,,,,,,,,,,,,,,1393.53,6188987,Meydan,,Public Facilities
10313814,Nad Al Shiba First,144-,,,,,,,,,,,,,,1393.53,6188984,Meydan,,Public Facilities
10313816,Nad Al Shiba First,145-,,,,,,,,,,,,,,1393.54,6189123,Meydan,,Public Facilities
10313818,Nad Al Shiba First,146-,,,,,,,,,,,,,,1393.54,6189153,Meydan,,Public Facilities
10313820,Nad Al Shiba First,147-,,,,,,,,,,,,,,1393.54,6188970,Meydan,,Public Facilities
10313822,Nad Al Shiba First,148-,,,,,,,,,,,,,,1393.54,6189050,Meydan,,Public Facilities
10313824,Nad Al Shiba First,149-,,,,,,,,,,,,,,1393.54,6189056,Meydan,,Public Facilities
10313826,Nad Al Shiba First,150-,,,,,,,,,,,,,,2787.1,6184161,Meydan,,Public Facilities
10313828,Nad Al Shiba First,151-,,,,,,,,,,,,,,2787.08,6184160,Meydan,,Public Facilities
10313830,Nad Al Shiba First,152-,,,,,,,,,,,,,,1393.55,6189053,Meydan,,Public Facilities
10313832,Nad Al Shiba First,153-,,,,,,,,,,,,,,1393.55,6189008,Meydan,,Public Facilities
10313834,Nad Al Shiba First,154-,,,,,,,,,,,,,,1393.55,6188991,Meydan,,Public Facilities
10313836,Nad Al Shiba First,155-,,,,,,,,,,,,,,1393.55,6188977,Meydan,,Public Facilities
10313838,Nad Al Shiba First,156-,,,,,,,,,,,,,,4180.63,6186422,Meydan,,Public Facilities
10313840,Nad Al Shiba First,157-,,,,,,,,,,,,,,1393.55,6189102,Meydan,,Public Facilities
10313842,Nad Al Shiba First,158-,,,,,,,,,,,,,,2787.09,6183899,Meydan,The Galleries,Public Facilities
10313844,Nad Al Shiba First,159-,,,,,,,,,,,,,,1393.56,6189104,Meydan,,Public Facilities
10313846,Nad Al Shiba First,160-,,,,,,,,,,,,,,2787.09,6184118,Meydan,,Public Facilities
10313848,Nad Al Shiba First,161-,,,,,,,,,,,,,,1393.56,6188971,Meydan,THE DERBY RESIDENCE 2&3,Public Facilities
10313850,Nad Al Shiba First,162-,,,,,,,,,,,,,,1393.56,6188967,Meydan,,Public Facilities
10313852,Nad Al Shiba First,163-,,,,,,,,,,,,,,1393.56,6189048,Meydan,,Public Facilities
10313854,Nad Al Shiba First,164-,,,,,,,,,,,,,,1393.56,6188981,Meydan,,Public Facilities
10313856,Nad Al Shiba First,165-,,,,,,,,,,,,,,1393.57,6188997,Meydan,,Public Facilities
10313858,Nad Al Shiba First,166-,,,,,,,,,,,,,,1393.59,6189007,Meydan,,Public Facilities
10313860,Nad Al Shiba First,167-,,,,,,,,,,,,,,1393.59,6184166,Meydan,,Public Facilities
10313862,Nad Al Shiba First,168-,,,,,,,,,,,,,,1393.65,6189148,Meydan,,Public Facilities
10313864,Nad Al Shiba First,169-,,,,,,,,,,,,,,1393.65,6189149,Meydan,,Public Facilities
10313866,Nad Al Shiba First,170-,,,,,,,,,,,,,,1394.08,6189117,Meydan,,Public Facilities
10313868,Nad Al Shiba First,171-,,,,,,,,,,,,,,1395.15,6188976,Meydan,,Public Facilities
