p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
139738694,Madinat Al Mataar,493-,Parklane Residence 4,,416,6.0,1,0.15,4,2 B/R,,,,,,98.02,,Dubai World Central,Parklane Residence,Government Authorities
139738788,Madinat Al Mataar,493-,Parklane Residence 4,,417,6.15,1,0.1,4,1 B/R,,,,,,62.2,,Dubai World Central,Parklane Residence,Government Authorities
139738882,Madinat Al Mataar,493-,Parklane Residence 4,,418,6.15,1,0.1,4,1 B/R,,,,,,61.71,,Dubai World Central,Parklane Residence,Government Authorities
139738976,Madinat Al Mataar,493-,Parklane Residence 4,,419,3.39,1,0.05,4,Studio,,,,,,33.69,,Dubai World Central,Parklane Residence,Government Authorities
139739070,Madinat Al Mataar,493-,Parklane Residence 4,,501,6.08,1,0.15,5,2 B/R,,,,,,97.17,,Dubai World Central,Parklane Residence,Government Authorities
139727050,Madinat Al Mataar,493-,Parklane Residence 3,,914,3.35,1,0.06,9,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
139727144,Madinat Al Mataar,493-,Parklane Residence 3,,915,6.0,1,0.15,9,2 B/R,,,,,,98.02,,Dubai World Central,Parklane Residence,Government Authorities
139727238,Madinat Al Mataar,493-,Parklane Residence 3,,916,6.15,1,0.1,9,1 B/R,,,,,,62.23,,Dubai World Central,Parklane Residence,Government Authorities
139727332,Madinat Al Mataar,493-,Parklane Residence 3,,917,12.11,1,0.16,9,2 B/R,,,,,,101.33,,Dubai World Central,Parklane Residence,Government Authorities
139727426,Madinat Al Mataar,493-,Parklane Residence 3,,1001,6.08,1,0.15,10,2 B/R,,,,,,97.17,,Dubai World Central,Parklane Residence,Government Authorities
139727520,Madinat Al Mataar,493-,Parklane Residence 3,,1002,6.0,1,0.15,10,2 B/R,,,,,,94.83,,Dubai World Central,Parklane Residence,Government Authorities
139727614,Madinat Al Mataar,493-,Parklane Residence 3,,1003,6.0,1,0.15,10,2 B/R,,,,,,95.39,,Dubai World Central,Parklane Residence,Government Authorities
139727708,Madinat Al Mataar,493-,Parklane Residence 3,,1004,5.85,2,0.21,10,3 B/R,,,,,,134.54,,Dubai World Central,Parklane Residence,Government Authorities
139727802,Madinat Al Mataar,493-,Parklane Residence 3,,1005,6.15,1,0.1,10,1 B/R,,,,,,62.96,,Dubai World Central,Parklane Residence,Government Authorities
139727896,Madinat Al Mataar,493-,Parklane Residence 3,,1006,6.15,1,0.1,10,1 B/R,,,,,,62.5,,Dubai World Central,Parklane Residence,Government Authorities
139727990,Madinat Al Mataar,493-,Parklane Residence 3,,1007,12.11,1,0.16,10,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139728084,Madinat Al Mataar,493-,Parklane Residence 3,,1008,12.11,1,0.16,10,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
